transaction_id,date,account_code,account_name,debit,credit,description,reference
76,2024-10-25,5000,Salaries Expense,7413.21,0.0,Monthly Invoice,REF000076
77,2024-06-06,2100,Accrued Liabilities,44950.08,0.0,Utility Bill,REF000077
78,2024-04-17,5200,Utilities Expense,12483.99,0.0,Utility Bill,REF000078
79,2024-10-13,3000,Revenue,48692.11,0.0,Salary Payment,REF000079
80,2024-03-24,1500,Inventory,44072.0,0.0,Supplier Payment,REF000080
81,2024-06-19,3000,Revenue,40113.73,0.0,Rent Payment,REF000081
82,2024-03-22,6000,Marketing Expense,5413.7,0.0,Purchase Order,REF000082
83,2024-04-23,1700,Prepaid Expenses,0.0,40831.16,Utility Bill,REF000083
84,2024-06-05,1700,Prepaid Expenses,11153.95,0.0,Sales Transaction,REF000084
85,2024-06-17,2000,Accounts Payable,0.0,43219.0,Utility Bill,REF000085
86,2024-11-24,5000,Salaries Expense,0.0,19989.92,Monthly Invoice,REF000086
87,2024-02-29,2000,Accounts Payable,0.0,8936.61,Monthly Invoice,REF000087
88,2024-02-25,5100,Rent Expense,0.0,21733.84,Sales Transaction,REF000088
89,2024-11-06,1200,Salaries Expense,5791.13,0.0,Rent Payment,REF000089
90,2024-01-23,6000,Marketing Expense,21808.52,0.0,Utility Bill,REF000090
91,2024-08-08,1200,Accounts Receivable,0.0,47444.24,Adjustment Entry,REF000091
92,2024-06-09,5200,Utilities Expense,0.0,42402.28,Bank Transfer,REF000092
93,2024-06-07,5200,Utilities Expense,0.0,20425.56,Interest Payment,REF000093
94,2024-05-31,5000,Salaries Expense,0.0,6373.12,Depreciation,REF000094
95,2024-07-13,5200,Utilities Expense,37409.25,0.0,Adjustment Entry,REF000095
96,2024-10-18,2000,Accounts Payable,20309.7,0.0,Rent Payment,REF000096
97,2024-05-26,1700,Prepaid Expenses,0.0,21500.11,Purchase Order,REF000097
98,2024-08-14,4000,Cost of Goods Sold,0.0,33784.61,Interest Payment,REF000098
99,2024-03-27,5200,Utilities Expense,0.0,4248.93,Customer Payment,REF000099
100,2024-04-30,5200,Utilities Expense,15527.87,0.0,Supplier Payment,REF000100
101,2024-01-13,1000,Cash,0.0,12249.68,Adjustment Entry,REF000101
102,2024-02-07,4000,Cost of Goods Sold,20727.91,0.0,Interest Payment,REF000102
103,2024-12-22,3000,Revenue,24723.91,0.0,Supplier Payment,REF000103
104,2024-12-01,6000,Marketing Expense,287.19,0.0,Sales Transaction,REF000104
105,2024-04-22,1500,Inventory,0.0,40207.45,Monthly Invoice,REF000105
106,2024-10-12,1700,Prepaid Expenses,45874.33,0.0,Purchase Order,REF000106
107,2024-03-09,4000,Cost of Goods Sold,0.0,33382.21,Purchase Order,REF000107
108,2024-11-09,6000,Marketing Expense,0.0,44602.09,Bank Transfer,REF000108
109,2024-08-16,1500,Inventory,0.0,37185.34,Purchase Order,REF000109
110,2024-05-12,1700,Prepaid Expenses,0.0,41994.75,Bank Transfer,REF000110
111,2024-09-05,5200,Utilities Expense,0.0,11969.9,Customer Payment,REF000111
112,2024-05-26,1700,Prepaid Expenses,0.0,13593.04,Bank Transfer,REF000112
113,2024-02-11,1500,Inventory,0.0,7550.02,Interest Payment,REF000113
114,2024-03-19,6000,Marketing Expense,0.0,10705.5,Sales Transaction,REF000114
115,2024-06-18,5000,Salaries Expense,23301.56,0.0,Salary Payment,REF000115
116,2024-08-03,3000,Revenue,45242.88,0.0,Adjustment Entry,REF000116
117,2024-07-13,4000,Cost of Goods Sold,0.0,304.75,Rent Payment,REF000117
118,2024-07-18,3000,Revenue,26915.65,0.0,Purchase Order,REF000118
119,2024-04-22,2000,Accounts Payable,21797.44,0.0,Sales Transaction,REF000119
120,2024-06-21,5200,Utilities Expense,0.0,33960.3,Interest Payment,REF000120
121,2024-03-25,4000,Cost of Goods Sold,45977.89,0.0,Sales Transaction,REF000121
122,2024-10-30,5100,Rent Expense,33153.36,0.0,Depreciation,REF000122
123,2024-08-07,1500,Inventory,43343.9,0.0,Monthly Invoice,REF000123
124,2024-05-13,3000,Revenue,0.0,16374.36,Utility Bill,REF000124
125,2024-06-21,3000,Revenue,0.0,13920.05,Rent Payment,REF000125
126,2024-02-11,4000,Cost of Goods Sold,978.97,0.0,Utility Bill,REF000126
127,2024-04-24,5200,Utilities Expense,3440.23,0.0,Monthly Invoice,REF000127
128,2024-05-06,1700,Prepaid Expenses,41963.05,0.0,Salary Payment,REF000128
129,2024-03-05,4000,Cost of Goods Sold,33476.25,0.0,Purchase Order,REF000129
130,2024-12-24,2000,Accounts Payable,38347.24,0.0,Adjustment Entry,REF000130
131,2024-11-06,6000,Marketing Expense,35920.68,0.0,Rent Payment,REF000131
132,2024-02-25,5100,Rent Expense,0.0,1293.66,Adjustment Entry,REF000132
133,2024-12-12,3000,Revenue,19838.76,0.0,Customer Payment,REF000133
134,2024-10-30,6000,Marketing Expense,41530.28,0.0,Customer Payment,REF000134
135,2024-12-22,2000,Accounts Payable,42516.16,0.0,Adjustment Entry,REF000135
136,2024-01-22,2100,Accrued Liabilities,0.0,26641.93,Customer Payment,REF000136
137,2024-09-16,5200,Utilities Expense,0.0,17068.15,Purchase Order,REF000137
138,2024-02-24,3000,Revenue,0.0,48039.77,Interest Payment,REF000138
139,2024-03-19,3000,Revenue,0.0,8815.09,Adjustment Entry,REF000139
140,2024-10-02,4000,Cost of Goods Sold,0.0,23249.04,Utility Bill,REF000140
141,2024-05-05,1200,Accounts Receivable,0.0,13953.62,Salary Payment,REF000141
142,2024-08-25,5100,Rent Expense,0.0,30520.48,Utility Bill,REF000142
143,2024-01-15,4000,Cost of Goods Sold,42549.13,0.0,Purchase Order,REF000143
144,2024-04-18,2100,Accrued Liabilities,0.0,39893.64,Rent Payment,REF000144
145,2024-11-01,6000,Marketing Expense,44006.57,0.0,Bank Transfer,REF000145
146,2024-04-07,1200,Accounts Receivable,0.0,12075.39,Purchase Order,REF000146
147,2024-10-11,1700,Prepaid Expenses,0.0,34533.56,Purchase Order,REF000147
148,2024-01-09,1200,Accounts Receivable,0.0,14718.84,Interest Payment,REF000148
149,2024-05-04,2000,Accounts Payable,0.0,33201.36,Purchase Order,REF000149
150,2024-10-10,5000,Salaries Expense,0.0,17194.43,Utility Bill,REF000150
151,2024-12-25,4000,Cost of Goods Sold,0.0,13553.11,Salary Payment,REF000151
152,2024-03-02,6000,Marketing Expense,9637.29,0.0,Interest Payment,REF000152
153,2024-10-01,6000,Marketing Expense,9265.64,0.0,Interest Payment,REF000153
154,2024-09-04,3000,Accounts Payable,0.0,36232.0,Customer Payment,REF000154
155,2024-04-09,2000,Accounts Payable,11381.88,0.0,Rent Payment,REF000155
156,2024-01-08,6000,Marketing Expense,0.0,26711.41,Monthly Invoice,REF000156
157,2024-01-28,5000,Salaries Expense,14613.91,0.0,Depreciation,REF000157
158,2024-09-08,1200,Accounts Receivable,0.0,43637.26,Purchase Order,REF000158
159,2024-09-02,4000,Cost of Goods Sold,17041.89,0.0,Rent Payment,REF000159
160,2024-09-01,1200,Accounts Receivable,0.0,41107.56,Purchase Order,REF000160
161,2024-02-07,5100,Rent Expense,31475.99,0.0,Supplier Payment,REF000161
162,2024-03-17,5100,Rent Expense,47456.79,0.0,Salary Payment,REF000162
163,2024-03-01,5000,Salaries Expense,38224.53,0.0,Bank Transfer,REF000163
164,2024-07-13,4000,Cost of Goods Sold,0.0,45426.13,Adjustment Entry,REF000164
165,2024-08-07,2000,Accounts Payable,28435.79,0.0,Adjustment Entry,REF000165
166,2024-02-20,1700,Prepaid Expenses,0.0,31313.306036603124,Depreciation,REF000166
167,2024-02-11,1500,Inventory,12000.86,0.0,Supplier Payment,REF000167
168,2024-01-02,3000,Revenue,0.0,22530.68,Rent Payment,REF000168
169,2024-01-17,1700,Prepaid Expenses,0.0,14412.36,Interest Payment,REF000169
170,2024-08-20,1200,Accounts Receivable,0.0,34372.37,Depreciation,REF000170
171,2024-10-28,5200,Utilities Expense,40197.24,0.0,Sales Transaction,REF000171
172,2024-02-28,5000,Salaries Expense,11248.22,0.0,Rent Payment,REF000172
173,2024-03-13,1200,Accounts Receivable,0.0,2991.31,Adjustment Entry,REF000173
174,2024-10-18,2000,Accounts Payable,0.0,21963.28,Interest Payment,REF000174
175,2024-06-04,6000,Marketing Expense,0.0,20131.4,Bank Transfer,REF000175
177,2024-06-14,5100,Rent Expense,12525.89,0.0,Salary Payment,REF000177
178,2024-12-11,5100,Rent Expense,29360.28,0.0,Depreciation,REF000178
179,2024-05-17,5100,Rent Expense,2021.18,0.0,Purchase Order,REF000179
180,2024-09-22,5200,Utilities Expense,0.0,22117.05,Supplier Payment,REF000180
181,2024-10-26,3000,Revenue,0.0,31742.89,Customer Payment,REF000181
182,2024-08-28,2100,Accrued Liabilities,0.0,20423.32,Depreciation,REF000182
183,2024-02-23,1500,Inventory,0.0,16496.89,Rent Payment,REF000183
184,2024-12-05,3000,Revenue,40680.17,0.0,Purchase Order,REF000184
185,2024-02-15,2100,Accrued Liabilities,12627.42,0.0,Sales Transaction,REF000185
186,2024-09-20,1000,Cash,0.0,32886.44,Sales Transaction,REF000186
187,2024-01-28,1700,Prepaid Expenses,0.0,25926.79,Depreciation,REF000187
188,2024-08-14,1000,Cash,10185.88,0.0,Rent Payment,REF000188
189,2024-08-12,6000,Marketing Expense,24240.74,0.0,Depreciation,REF000189
190,2024-11-07,1700,Prepaid Expenses,0.0,35492.04,Bank Transfer,REF000190
191,2024-01-08,5000,Salaries Expense,20405.45,0.0,Customer Payment,REF000191
192,2024-08-24,1200,Accounts Receivable,32389.01,0.0,Purchase Order,REF000192
193,2024-05-29,5000,Salaries Expense,0.0,35273.53,Purchase Order,REF000193
194,2024-08-29,1700,Prepaid Expenses,22844.76,0.0,Sales Transaction,REF000194
195,2024-04-07,5100,Rent Expense,25416.96,0.0,Customer Payment,REF000195
196,2024-05-21,3000,Revenue,0.0,17000.36,Monthly Invoice,REF000196
197,2024-05-24,6000,Marketing Expense,0.0,14934.81,Supplier Payment,REF000197
198,2024-08-16,5000,Salaries Expense,0.0,24222.23,Bank Transfer,REF000198
199,2024-10-05,3000,Revenue,0.0,22772.68,Salary Payment,REF000199
200,2024-12-23,1700,Prepaid Expenses,28594.16,0.0,Sales Transaction,REF000200
201,2024-01-23,2100,Accrued Liabilities,0.0,37237.81,Sales Transaction,REF000201
202,2024-12-05,5200,Utilities Expense,0.0,49041.1,Monthly Invoice,REF000202
203,2024-03-05,5000,Salaries Expense,0.0,48268.03,Customer Payment,REF000203
204,2024-08-13,1200,Accounts Receivable,0.0,26302.29,Monthly Invoice,REF000204
205,2024-03-14,3000,Revenue,43547.94,0.0,Customer Payment,REF000205
206,2024-08-28,2000,Accounts Payable,0.0,16934.68,Depreciation,REF000206
207,2024-02-11,2100,Accrued Liabilities,0.0,42618.54,Utility Bill,REF000207
208,2024-11-16,6000,Marketing Expense,0.0,44373.06,Bank Transfer,REF000208
209,2024-01-19,5100,Rent Expense,0.0,3430.35,Salary Payment,REF000209
210,2024-02-16,3000,Revenue,48917.1,0.0,Purchase Order,REF000210
211,2024-03-26,6000,Marketing Expense,14980.31,0.0,Monthly Invoice,REF000211
212,2024-06-15,1000,Cash,0.0,14675.46,Sales Transaction,REF000212
213,2024-03-15,1700,Prepaid Expenses,26563.0,0.0,Supplier Payment,REF000213
214,2024-03-30,1200,Accounts Receivable,0.0,30478.49,Adjustment Entry,REF000214
215,2024-12-15,1700,Prepaid Expenses,24888.39,0.0,Salary Payment,REF000215
216,2024-08-24,5200,Utilities Expense,0.0,12706.33,Depreciation,REF000216
217,2024-01-05,4000,Cost of Goods Sold,45061.46,0.0,Customer Payment,REF000217
218,2024-08-14,2100,Accrued Liabilities,0.0,49382.71,Depreciation,REF000218
219,2024-08-05,6000,Marketing Expense,0.0,12512.41,Salary Payment,REF000219
220,2024-07-15,4000,Cost of Goods Sold,0.0,5341.6,Adjustment Entry,REF000220
221,2024-07-02,5100,Rent Expense,0.0,14800.66,Monthly Invoice,REF000221
222,2024-12-03,3000,Revenue,13731.27,0.0,Adjustment Entry,REF000222
223,2024-09-11,2000,Accounts Payable,38789.29,0.0,Adjustment Entry,REF000223
224,2024-06-29,1700,Prepaid Expenses,0.0,31834.53,Depreciation,REF000224
225,2024-12-03,5200,Utilities Expense,41918.47,0.0,Depreciation,REF000225
226,2024-11-26,1000,Cash,0.0,15453.55,Monthly Invoice,REF000226
227,2024-10-23,2100,Accrued Liabilities,36620.66,0.0,Rent Payment,REF000227
228,2024-06-16,6000,Marketing Expense,20781.0,0.0,Supplier Payment,REF000228
229,2024-10-03,2100,Accrued Liabilities,0.0,26547.31,Supplier Payment,REF000229
230,2024-05-11,4000,Cost of Goods Sold,0.0,48369.53,Interest Payment,REF000230
231,2024-06-22,1200,Accounts Receivable,23421.89,0.0,Supplier Payment,REF000231
232,2024-04-25,5200,Utilities Expense,0.0,36213.59,Bank Transfer,REF000232
233,2024-07-06,1200,Accounts Receivable,39536.19,0.0,Rent Payment,REF000233
234,2024-10-01,1200,Accounts Receivable,0.0,22744.75,Adjustment Entry,REF000234
235,2024-07-14,5200,Utilities Expense,47015.2,0.0,Depreciation,REF000235
236,2024-04-29,4000,Cost of Goods Sold,0.0,1260.98,Adjustment Entry,REF000236
237,2024-04-23,5200,Utilities Expense,0.0,3170.22,Interest Payment,REF000237
238,2024-06-03,5200,Utilities Expense,20420.71,0.0,Monthly Invoice,REF000238
239,2024-01-20,2000,Accounts Payable,49796.41,0.0,Customer Payment,REF000239
240,2024-04-30,5000,Salaries Expense,0.0,6791.85,Utility Bill,REF000240
241,2024-12-09,6000,Marketing Expense,0.0,34827.23,Adjustment Entry,REF000241
242,2024-03-20,3000,Revenue,0.0,32749.55,Adjustment Entry,REF000242
243,2024-07-27,2000,Accounts Payable,0.0,1645.49,Salary Payment,REF000243
244,2024-08-15,4000,Cost of Goods Sold,0.0,47528.25,Customer Payment,REF000244
245,2024-12-17,2100,Accrued Liabilities,0.0,27227.85,Monthly Invoice,REF000245
246,2024-07-22,2000,Accounts Payable,9498.53,0.0,Purchase Order,REF000246
247,2024-02-16,5200,Utilities Expense,10613.17,0.0,Monthly Invoice,REF000247
248,2024-06-19,1700,Prepaid Expenses,49441.16,0.0,Customer Payment,REF000248
249,2024-10-10,1700,Prepaid Expenses,29323.29,0.0,Utility Bill,REF000249
250,2024-03-16,5100,Rent Expense,151.75,0.0,Supplier Payment,REF000250
251,2024-10-03,2000,Accounts Payable,39927.71,0.0,Depreciation,REF000251
252,2024-01-14,1500,Inventory,752.87,0.0,Adjustment Entry,REF000252
253,2024-06-14,1000,Cash,8720.57,0.0,Supplier Payment,REF000253
254,2024-08-03,5000,Salaries Expense,5691.33,0.0,Purchase Order,REF000254
255,2024-08-17,2100,Accrued Liabilities,25666.77,0.0,Purchase Order,REF000255
256,2024-09-14,1700,Prepaid Expenses,47271.33,0.0,Interest Payment,REF000256
257,2024-12-03,5000,Salaries Expense,15088.5,0.0,Monthly Invoice,REF000257
258,2024-09-02,3000,Revenue,21319.42,0.0,Purchase Order,REF000258
259,2024-12-30,4000,Cost of Goods Sold,3683.8,0.0,Utility Bill,REF000259
260,2024-11-07,1500,Inventory,0.0,3293.45,Adjustment Entry,REF000260
261,2024-11-20,5100,Rent Expense,0.0,27422.34,Sales Transaction,REF000261
262,2024-11-01,5000,Salaries Expense,0.0,14751.94,Customer Payment,REF000262
263,2024-12-25,1200,Accounts Receivable,42641.11,0.0,Sales Transaction,REF000263
264,2024-08-19,1700,Prepaid Expenses,0.0,20696.54,Sales Transaction,REF000264
265,2024-07-31,6000,Marketing Expense,0.0,4763.34,Utility Bill,REF000265
266,2024-12-06,2000,Accounts Payable,18721.31,0.0,Depreciation,REF000266
267,2024-08-30,1200,Accounts Receivable,4570.33,0.0,Customer Payment,REF000267
268,2024-08-09,1200,Accounts Receivable,0.0,37232.0,Supplier Payment,REF000268
269,2024-10-11,1000,Cash,0.0,29327.39,Depreciation,REF000269
270,2024-03-03,3000,Revenue,0.0,17686.37,Interest Payment,REF000270
271,2024-01-27,2000,Accounts Payable,0.0,30024.5,Customer Payment,REF000271
272,2024-10-22,5000,Salaries Expense,0.0,10644.81,Salary Payment,REF000272
273,2024-02-25,2100,Accrued Liabilities,0.0,42270.22,Customer Payment,REF000273
274,2024-05-22,5100,Rent Expense,0.0,11315.69,Bank Transfer,REF000274
275,2024-11-14,5100,Rent Expense,33752.09,0.0,Adjustment Entry,REF000275
276,2024-12-02,6000,Marketing Expense,13379.71,0.0,Rent Payment,REF000276
277,2024-12-25,2000,Accounts Payable,0.0,46077.66,Monthly Invoice,REF000277
278,2024-04-02,1500,Inventory,0.0,28320.39,Customer Payment,REF000278
279,2024-03-13,6000,Marketing Expense,31662.27,0.0,Customer Payment,REF000279
280,2024-09-28,1700,Prepaid Expenses,0.0,18815.96,Utility Bill,REF000280
281,2024-03-21,2100,Accrued Liabilities,0.0,15588.75,Adjustment Entry,REF000281
282,2024-11-01,1200,Accounts Receivable,44168.28,0.0,Supplier Payment,REF000282
283,2024-11-12,1000,Cash,0.0,33701.7,Purchase Order,REF000283
284,2024-12-04,3000,Revenue,0.0,24288.23,Sales Transaction,REF000284
285,2024-05-19,1700,Prepaid Expenses,37749.61,0.0,Utility Bill,REF000285
286,2024-08-08,1200,Accounts Receivable,0.0,14169.49,Bank Transfer,REF000286
287,2024-12-07,2000,Accounts Payable,0.0,2280.41,Adjustment Entry,REF000287
288,2024-01-29,1000,Cash,10229.11,0.0,Supplier Payment,REF000288
289,2024-05-10,2000,Accounts Payable,16412.84,0.0,Purchase Order,REF000289
290,2024-08-08,1500,Inventory,6467.99,0.0,Bank Transfer,REF000290
291,2024-10-13,5200,Utilities Expense,40311.95,0.0,Sales Transaction,REF000291
292,2024-01-22,3000,Revenue,946.89,0.0,Utility Bill,REF000292
293,2024-10-21,3000,Revenue,0.0,28674.25,Rent Payment,REF000293
294,2024-02-28,3000,Revenue,0.0,1052.62,Supplier Payment,REF000294
295,2024-11-12,4000,Cost of Goods Sold,0.0,41602.98,Customer Payment,REF000295
296,2024-08-11,1200,Accounts Receivable,0.0,12173.39,Bank Transfer,REF000296
297,2024-02-10,3000,Revenue,0.0,43527.52,Salary Payment,REF000297
298,2024-06-19,1500,Inventory,3828.21,0.0,Bank Transfer,REF000298
299,2024-09-18,1700,Prepaid Expenses,0.0,45297.08,Utility Bill,REF000299
300,2024-11-26,1500,Inventory,11821.08,0.0,Rent Payment,REF000300
301,2024-04-11,1500,Inventory,30123.93,0.0,Supplier Payment,REF000301
302,2024-11-17,4000,Cost of Goods Sold,0.0,23203.01,Depreciation,REF000302
303,2024-10-16,5200,Utilities Expense,0.0,31768.56,Depreciation,REF000303
304,2024-06-10,1500,Inventory,0.0,21993.74,Purchase Order,REF000304
305,2024-11-19,2000,Accounts Payable,39818.52,0.0,Utility Bill,REF000305
306,2024-09-16,1200,Accounts Receivable,0.0,15527.29,Monthly Invoice,REF000306
307,2024-01-30,2100,Accrued Liabilities,41586.51,0.0,Depreciation,REF000307
308,2024-02-16,5100,Rent Expense,0.0,29708.05,Purchase Order,REF000308
309,2024-10-24,5000,Salaries Expense,47712.03,0.0,Purchase Order,REF000309
310,2024-10-19,5200,Utilities Expense,0.0,9420.09,Bank Transfer,REF000310
311,2024-03-18,1000,Cash,0.0,22531.65,Interest Payment,REF000311
312,2024-02-13,5000,Salaries Expense,32309.89,0.0,Salary Payment,REF000312
313,2024-12-28,4000,Cost of Goods Sold,49549.39,0.0,Utility Bill,REF000313
314,2024-07-09,2000,Accounts Payable,0.0,19376.95,Depreciation,REF000314
315,2024-11-02,1000,Cash,0.0,39463.45,Customer Payment,REF000315
316,2024-06-17,1200,Accounts Receivable,0.0,27902.58,Rent Payment,REF000316
317,2024-05-09,6000,Marketing Expense,42579.8,0.0,Utility Bill,REF000317
318,2024-02-11,5100,Rent Expense,0.0,33183.97,Rent Payment,REF000318
319,2024-12-01,6000,Marketing Expense,33110.14,0.0,Adjustment Entry,REF000319
320,2024-12-28,1200,Accounts Receivable,0.0,15486.0,Depreciation,REF000320
321,2024-06-17,1500,Inventory,33509.12,0.0,Depreciation,REF000321
322,2024-12-09,3000,Revenue,25429.34,0.0,Utility Bill,REF000322
323,2024-06-07,1500,Inventory,0.0,47558.95,Purchase Order,REF000323
324,2024-04-08,1700,Prepaid Expenses,49998.83,0.0,Customer Payment,REF000324
325,2024-05-31,1200,Accounts Receivable,25389.41,0.0,Depreciation,REF000325
326,2024-06-21,5100,Rent Expense,0.0,6561.14,Supplier Payment,REF000326
327,2024-03-24,1500,Inventory,41568.94,0.0,Interest Payment,REF000327
328,2024-08-12,1000,Cash,20548.82,0.0,Purchase Order,REF000328
329,2024-11-08,2000,Accounts Payable,0.0,37622.03,Salary Payment,REF000329
330,2024-09-30,1700,Prepaid Expenses,0.0,15480.3,Salary Payment,REF000330
331,2024-07-07,5200,Utilities Expense,0.0,47357.04,Purchase Order,REF000331
332,2024-05-24,3000,Revenue,0.0,25150.31,Supplier Payment,REF000332
333,2024-04-12,5100,Rent Expense,0.0,6928.54,Monthly Invoice,REF000333
334,2024-11-24,4000,Cost of Goods Sold,43707.11,0.0,Interest Payment,REF000334
335,2024-09-21,1200,Accounts Receivable,14260.3,0.0,Rent Payment,REF000335
336,2024-08-18,5000,Salaries Expense,0.0,7375.96,Customer Payment,REF000336
337,2024-04-23,4000,Cost of Goods Sold,44232.64,0.0,Sales Transaction,REF000337
338,2024-01-28,3000,Revenue,25105.34,0.0,Sales Transaction,REF000338
